PI (%),H (m),γ (kN/m³),Vs (m/s),αgR (g),PGA (g),PGD (cm)
17,68,18,498,0.75,0.52,127.35
12,100,24,254,0.1,0.1,0.22
5,55,22,569,0.1,0.11,0.23
54,46,22,184,0.95,0.25,39.16
2,24,21,275,1,0.41,37.53
10,40,22,378,0.5,0.5,16.18
18,30,21,368,0.25,0.45,5.31
27,34,19,392,0.55,0.79,18.07
58,27,21,648,0.9,1.08,29.41
52,99,23,642,0.8,0.57,26.08
26,20,20,520,0.05,0.07,0.17
26,80,15,228,0.1,0.1,0.24
8,98,20,525,0.2,0.2,0.27
47,46,15,518,0.7,0.71,109.53
54,95,23,562,0.05,0.06,0.17
25,83,16,279,0.6,0.19,140.24
1,23,23,198,0.7,0.26,145.7
20,11,23,411,0.35,0.63,20.92
34,56,16,211,0.4,0.29,10.01
30,62,23,418,0.55,0.52,18.57
43,33,20,607,0.1,0.11,0.17
55,70,19,478,0.45,0.48,6.56
35,56,15,291,0.85,0.44,28.14
54,50,16,268,0.75,0.67,125.63
16,60,22,119,0.45,0.08,8.89
8,38,21,232,0.15,0.17,1.08
45,25,13,222,0.35,0.42,23
45,32,14,522,0.9,1.26,31.01
54,55,16,345,0.85,0.55,27.94
7,54,17,530,0.25,0.39,5.42
20,24,20,465,0.1,0.13,0.17
50,79,23,143,0.75,0.1,172.79
30,66,20,115,0.9,0.09,48.41
32,42,21,331,0.1,0.15,0.27
17,15,14,252,0.2,0.39,0.56
13,22,19,134,0.95,0.19,37.01
15,48,13,192,0.8,0.2,28.03
33,98,24,554,0.3,0.32,14.92
19,92,14,182,0.6,0.08,140.31
57,58,21,416,0.65,0.66,107.2
43,51,15,342,0.15,0.29,1.01
48,22,17,124,1,0.24,40.88
9,90,19,319,0.65,0.17,152.02
58,82,13,326,0.3,0.33,15.13
24,85,21,247,0.9,0.2,36.81
11,95,17,339,0.4,0.29,10.33
58,70,16,334,1,0.47,39.57
4,56,16,375,0.75,0.37,143.31
18,97,23,399,0.45,0.36,8.61
16,73,18,350,0.65,0.29,128.85
1,92,14,545,0.75,0.43,139.66
41,50,22,481,0.25,0.4,5.28
37,59,16,154,1,0.17,55.4
43,75,16,468,0.6,0.49,101.65
59,91,21,593,0.8,0.58,26.13
36,73,14,318,0.6,0.32,117.42
8,29,17,600,0.25,0.35,4.76
54,51,18,406,0.1,0.13,0.27
47,36,13,385,0.35,0.5,21.46
38,27,22,612,0.8,0.9,26
0,40,18,287,0.05,0.08,0.28
60,76,16,410,0.45,0.39,8.63
34,95,12,104,0.3,0.08,13.85
49,86,23,542,0.55,0.52,18.06
4,52,19,595,0.2,0.21,0.42
58,41,14,476,0.4,0.79,6.87
9,64,19,394,0.35,0.3,23.94
59,100,18,120,0.85,0.06,33.01
42,92,22,571,0.85,0.58,27.85
24,71,15,624,0.2,0.27,0.41
23,14,13,544,0.4,0.54,4.81
36,67,13,604,0.25,0.44,5.39
31,40,22,324,0.95,0.58,34.67
37,68,19,642,1,0.86,33.39
22,98,24,384,0.3,0.24,14.78
21,75,24,592,0.95,0.6,30.73
46,33,18,381,0.95,0.91,32.8
35,96,14,206,0.05,0.06,0.28
53,50,20,409,0.9,0.65,29.64
55,98,19,112,0.95,0.09,41.21
45,40,13,516,0.05,0.11,0.25
3,59,16,258,0.35,0.14,26.41
54,77,13,551,0.1,0.16,0.25
28,93,14,114,0.3,0.09,16.78
29,18,19,270,0.15,0.24,0.84
47,21,23,110,0.85,0.28,28.55
51,43,18,353,0.65,0.69,107.1
34,12,19,106,0.3,0.24,14.13
10,33,13,221,0.65,0.25,137.99
2,71,15,201,0.65,0.08,152.46
0,68,15,576,1,0.59,35.52
6,84,21,485,0.9,0.39,32.46
56,78,21,159,0.25,0.14,16.52
29,93,12,387,0.3,0.31,14.7
10,51,14,294,0.8,0.36,26.41
55,44,17,299,0.2,0.24,0.4
